Szereg,zabezpieczenia C,zabezpieczenia gG NH00 ,zabezpieczenia gG NH1 ,zabezpieczenia gG NH2 ,zabezpieczenia gG NH3 
2,2,2,,,
4,4,3,,,
6,6,6,,,
10,10,10,,,
13,13,,,,
16,16,16,,,
20,20,20,,,
25,25,25,,,
32,32,32,,,
35,35,35,,,
40,40,40,,,
50,50,50,,,
63,63,63,63,63,
80,,80,80,80,80
100,,100,100,100,100
125,,125,125,125,125
160,,160,160,160,160
200,,,200,200,200
224,,,224,224,224
250,,,250,250,250
280,,,,280,280
300,,,,300,300
315,,,,315,315
355,,,,355,355
400,,,,400,400
425,,,,,425
500,,,,,500
560,,,,,560
630,,,,,630
